,,,ポケモン名,H,A,B,C,D,S,計
513,681,681,盾ギルガルド,60,50,140,50,140,60,500
514,681,10026,剣ギルガルド,60,140,50,140,50,60,500
515,683,683,フレフワン,101,72,72,99,89,29,462
516,685,685,ペロリーム,82,80,86,85,75,72,480
517,687,687,カラマネロ,86,92,88,68,75,73,482
518,687,10297,メガカラマネロ,86,102,88,98,120,88,582
519,689,689,ガメノデス,72,105,115,54,86,68,500
520,689,10298,メガガメノデス,72,140,130,64,106,88,600
521,691,691,ドラミドロ,65,75,90,97,123,44,494
522,691,10299,メガドラミドロ,65,85,105,132,163,44,594
523,693,693,ブロスター,71,73,88,120,89,59,500
524,695,695,エレザード,62,55,52,109,94,109,481
525,697,697,ガチゴラス,82,121,119,69,59,71,521
526,699,699,アマルルガ,123,77,72,99,92,58,521
527,700,700,ニンフィア,95,65,65,110,130,60,525
528,701,701,ルチャブル,78,92,75,74,63,118,500
529,701,10300,メガルチャブル,78,137,100,74,93,118,600
530,702,702,デデンネ,67,58,57,81,67,101,431
531,703,703,メレシー,50,50,150,50,150,50,500
532,706,706,ヌメルゴン,90,100,70,110,150,80,600
533,706,10242,Rヌメルゴン,80,100,100,110,150,60,600
534,707,707,クレッフィ,57,80,91,80,87,75,470
535,709,709,オーロット,85,110,76,65,82,56,474
536,711,10030,パンプジン小,55,85,122,58,75,99,494
537,711,711,パンプジン中,65,90,122,58,75,84,494
538,711,10031,パンプジン大,75,95,122,58,75,69,494
539,711,10032,パンプジン特大,85,100,122,58,75,54,494
540,713,10243,Rクレベース,95,127,184,34,36,38,514
541,713,713,クレベース,95,117,184,44,46,28,514
542,715,715,オンバーン,85,70,80,97,80,123,535
543,716,716,ゼルネアス,126,131,95,131,98,99,680
544,717,717,イベルタル,126,131,95,131,98,99,680
545,718,10118,ジガルデ10%,54,100,71,61,85,115,486
546,718,718,ジガルデ50%,108,100,121,81,95,95,600
547,718,10120,ジガルデ100%,216,100,121,91,95,85,708
548,718,10301,メガジガルデ,216,70,91,216,85,100,778
549,719,719,ディアンシー,50,100,150,100,150,50,600
550,719,10075,メガディアンシー,50,160,110,160,110,110,700
551,720,720,フーパ（戒め）,80,110,60,150,130,70,600
552,720,10086,フーパ（解放）,80,160,60,170,130,80,680
553,721,721,ボルケニオン,80,110,120,130,90,70,600
554,724,724,ジュナイパー,78,107,75,100,100,70,530
555,724,10244,Rジュナイパー,88,112,80,95,95,60,530
556,727,727,ガオガエン,95,115,90,80,90,60,530
557,730,730,アシレーヌ,80,74,74,126,116,60,530
558,733,733,ドデカバシ,80,120,75,75,75,60,485
559,735,735,デカグース,88,110,60,55,60,45,418
560,738,738,クワガノン,77,70,90,145,75,43,500
561,740,740,ケケンカニ,97,132,77,62,67,43,478
562,740,10315,メガケケンカニ,97,157,122,62,107,33,578
563,741,741,オドリドリ,75,70,70,98,70,93,476
564,743,743,アブリボン,60,55,60,95,70,124,464
565,745,745,昼ルガルガン,75,115,65,55,65,112,487
566,745,10152,黄昏ルガルガン,75,117,65,55,65,110,487
567,745,10126,夜ルガルガン,85,115,75,55,75,82,487
568,746,746,ヨワシ（単独）,45,20,20,25,25,40,175
569,746,10127,ヨワシ（群れ）,45,140,130,140,135,30,620
570,748,748,ドヒドイデ,50,63,152,53,142,35,495
571,750,750,バンバドロ,100,125,100,55,85,35,500
572,752,752,オニシズクモ,68,70,92,50,132,42,454
573,754,754,ラランテス,70,105,90,80,90,45,480
574,756,756,マシェード,60,45,80,90,100,30,405
575,758,758,エンニュート,68,64,60,111,60,117,480
576,760,760,キテルグマ,120,125,80,55,60,60,500
577,763,763,アマージョ,72,120,98,50,98,72,510
578,764,764,キュワワー,51,52,90,82,110,100,485
579,765,765,ヤレユータン,90,60,80,90,110,60,490
580,766,766,ナゲツケサル,100,120,90,40,60,80,490
581,768,768,グソクムシャ,75,125,140,60,90,40,530
582,768,10316,メガグソクムシャ,75,150,175,70,120,40,630
583,770,770,シロデスナ,85,75,110,100,75,35,480
584,771,771,ナマコブシ,55,60,130,30,130,5,410
585,772,772,タイプ：ヌル,95,95,95,95,95,59,534
586,773,773,シルヴァディ,95,95,95,95,95,95,570
587,774,774,メテノ,60,60,100,60,100,60,440
588,774,10136,メテノ（コア）,60,100,60,100,60,120,500
589,775,775,ネッコアラ,65,115,65,75,95,65,480
590,776,776,バクガメス,60,78,135,91,85,36,485
591,777,777,トゲデマル,65,98,63,40,73,96,435
592,778,778,ミミッキュ,55,90,80,50,105,96,476
593,779,779,ハギギシリ,68,105,70,70,70,92,475
594,780,780,ジジーロン,78,60,85,135,91,36,485
595,780,10302,メガジジーロン,78,85,110,160,116,36,585
596,781,781,ダダリン,70,131,100,86,90,40,517
597,784,784,ジャラランガ,75,110,125,100,105,85,600
598,785,785,カプ・コケコ,70,115,85,95,75,130,570
599,786,786,カプ・テテフ,70,85,75,130,115,95,570
600,787,787,カプ・ブルル,70,130,115,85,95,75,570
601,788,788,カプ・レヒレ,70,75,115,95,130,85,570
602,791,791,ソルガレオ,137,137,107,113,89,97,680
603,792,792,ルナアーラ,137,113,89,137,107,97,680
604,793,793,ウツロイド,109,53,47,127,131,103,570
605,794,794,マッシブーン,107,139,139,53,53,79,570
606,795,795,フェローチェ,71,137,37,137,37,151,570
607,796,796,デンジュモク,83,89,71,173,71,83,570
608,797,797,テッカグヤ,97,101,103,107,101,61,570
609,798,798,カミツルギ,59,181,131,59,31,109,570
610,799,799,アクジキング,223,101,53,97,53,43,570
611,800,800,ネクロズマ,97,107,101,127,89,79,600
612,800,10155,日食ネクロズマ,97,157,127,113,109,77,680
613,800,10156,月食ネクロズマ,97,113,109,157,127,77,680
614,800,10157,ウルトラネクロズマ,97,167,97,167,97,129,754
615,801,801,マギアナ,80,95,115,130,115,65,600
616,801,10318,メガマギアナ,80,125,115,170,115,95,700
617,802,802,マーシャドー,90,125,80,90,90,125,600
618,804,804,アーゴヨン,73,73,73,127,73,121,540
619,805,805,ツンデツンデ,61,131,211,53,101,13,570
620,806,806,ズガドーン,53,127,53,151,79,107,570
621,807,807,ゼラオラ,88,112,75,102,80,143,600
622,807,10319,メガゼラオラ,88,157,75,147,80,153,700
623,809,809,メルメタル,135,143,143,80,65,34,600
624,812,812,ゴリランダー,100,125,90,60,70,85,530
625,815,815,エースバーン,80,116,75,65,75,119,530
626,818,818,インテレオン,70,85,65,125,65,120,530
627,820,820,ヨクバリス,120,95,95,55,75,20,460
628,823,823,アーマーガア,98,87,105,53,85,67,495
629,826,826,イオルブ,60,45,110,80,120,90,505
630,828,828,フォクスライ,70,58,58,87,92,90,455
631,830,830,ワタシラガ,60,50,90,80,120,60,460
632,832,832,バイウールー,72,80,100,60,90,88,490
633,834,834,カジリガメ,90,115,90,48,68,74,485
634,836,836,パルスワン,69,90,60,90,60,121,490
635,839,839,セキタンザン,110,80,120,80,90,30,510
636,841,841,アップリュー,70,110,80,95,60,70,485
637,842,842,タルップル,110,85,80,100,80,30,485
638,844,844,サダイジャ,72,107,125,65,70,71,510
639,845,845,ウッウ,70,85,55,85,95,85,475
640,847,847,カマスジョー,61,123,60,60,50,136,490
641,849,849,ストリンダー,75,98,70,114,70,75,502
642,851,851,マルヤクデ,100,115,65,90,90,65,525
643,853,853,オトスパス,80,118,90,70,80,42,480
644,855,855,ポットデス,60,65,65,134,114,70,508
645,858,858,ブリムオン,57,90,95,136,103,29,510
646,861,861,オーロンゲ,95,120,65,95,75,60,510
647,862,862,タチフサグマ,93,90,101,60,81,95,520
648,863,863,ニャイキング,70,110,100,50,60,50,440
649,864,864,サニゴーン,60,95,50,145,130,30,510
650,865,865,ネギガナイト,62,135,95,68,82,65,507
651,866,866,バリコオル,80,85,75,110,100,70,520
652,867,867,デスバーン,58,95,145,50,105,30,483
653,869,869,マホイップ,65,60,75,110,121,64,495
654,870,870,タイレーツ,65,100,100,70,60,75,470
655,870,10303,メガタイレーツ,65,135,135,70,65,100,570
656,871,871,バチンウニ,48,101,95,91,85,15,435
657,873,873,モスノウ,70,65,60,125,90,65,475
658,874,874,イシヘンジン,100,125,135,20,20,70,470
659,875,10185,FCコオリッポ,75,80,70,65,50,130,470
660,875,875,コオリッポ,75,80,110,65,90,50,470
661,876,876,イエッサン♂,60,65,55,105,95,95,475
662,876,10186,イエッサン♀,70,55,65,95,105,85,475
663,877,877,モルペコ,58,95,58,70,58,97,436
664,879,879,ダイオウドウ,122,130,69,80,69,30,500
665,880,880,パッチラゴン,90,100,90,80,70,75,505
666,881,881,パッチルドン,90,100,90,90,80,55,505
667,882,882,ウオノラゴン,90,90,100,70,80,75,505
668,883,883,ウオチルドン,90,90,100,80,90,55,505
669,884,884,ジュラルドン,70,95,115,120,50,85,535
670,887,887,ドラパルト,88,120,75,100,75,142,600
671,888,888,ザシアン,92,120,115,80,115,138,660
672,888,10188,王ザシアン,92,150,115,80,115,148,700
673,889,889,ザマゼンタ,92,120,115,80,115,138,660
674,889,10189,王ザマゼンタ,92,120,140,80,140,128,700
675,890,890,ムゲンダイナ,140,85,95,145,95,130,690
676,892,892,ウーラオス,100,130,100,63,60,97,550
677,893,893,ザルード,105,120,105,70,95,105,600
678,894,894,レジエレキ,80,100,50,100,50,200,580
679,895,895,レジドラゴ,200,100,50,100,50,80,580
680,896,896,ブリザポス,100,145,130,65,110,30,580
681,897,897,レイスポス,100,65,60,145,80,130,580
682,898,898,バドレックス,100,80,80,80,80,80,500
683,898,10194,黒バドレックス,100,85,80,165,100,150,680
684,898,10193,白バドレックス,100,165,150,85,130,50,680
685,899,899,アヤシシ,103,105,72,105,75,65,525
686,900,900,バサギリ,70,135,95,45,70,85,500
687,901,901,ガチグマ,130,140,105,45,80,50,550
688,901,10272,暁ガチグマ,113,70,120,135,65,52,555
689,902,902,イダイトウ♂,120,112,65,80,75,78,530
690,902,10248,イダイトウ♀,120,92,65,100,75,78,530
691,903,903,オオニューラ,80,130,60,40,80,120,510
692,904,904,ハリーマン,85,115,95,65,65,85,510
693,905,905,化身ラブトロス,74,115,70,135,80,106,580
694,905,10249,霊獣ラブトロス,74,115,110,135,100,46,580
695,908,908,マスカーニャ,76,110,70,81,70,123,530
696,911,911,ラウドボーン,104,75,100,110,75,66,530
697,914,914,ウェーニバル,85,120,80,85,75,85,530
698,916,916,パフュートン♂,110,100,75,59,80,65,489
699,916,10254,パフュートン♀,115,90,70,59,90,65,489
700,918,918,ワナイダー,60,79,92,52,86,35,404
701,920,920,エクスレッグ,71,102,78,52,55,92,450
702,923,923,パーモット,70,115,70,70,60,105,490
703,925,925,イッカネズミ,74,75,70,65,75,111,470
704,927,927,バウッツェル,57,80,115,50,80,95,477
705,930,930,オリーヴァ,78,69,90,125,109,39,510
706,931,931,イキリンコ,82,96,51,45,51,92,417
707,934,934,キョジオーン,100,100,130,45,90,35,500
708,936,936,グレンアルマ,85,60,100,125,80,75,525
709,937,937,ソウブレイズ,75,125,80,60,100,85,525
710,939,939,ハラバリー,109,64,91,103,83,45,495
711,941,941,タイカイデン,70,70,60,105,60,125,490
712,943,943,マフィティフ,80,120,90,60,70,85,505
713,945,945,タギングル,63,95,65,80,72,110,485
714,947,947,アノホラグサ,55,115,70,80,70,90,480
715,949,949,リククラゲ,80,70,65,80,120,100,515
716,950,950,ガケガニ,70,100,115,35,55,75,450
717,952,952,スコヴィラン,65,108,65,108,65,75,486
718,952,10320,メガスコヴィラン,65,138,85,138,85,75,586
719,954,954,ベラカス,75,50,85,115,100,45,470
720,956,956,クエスパトラ,95,60,60,101,60,105,481
721,959,959,デカヌチャン,85,75,77,70,105,94,506
722,961,961,ウミトリオ,35,100,50,50,70,120,425
723,962,962,オトシドリ,70,103,85,60,85,82,485
724,964,964,イルカマン,100,70,72,53,62,100,457
725,964,10256,FCイルカマン,100,160,97,106,87,100,650
726,966,966,ブロロローム,80,119,90,54,67,90,500
727,967,967,モトトカゲ,70,95,65,85,65,121,501
728,968,968,ミミズズ,70,85,145,60,55,65,480
729,970,970,キラフロル,83,55,90,130,81,86,525
730,970,10321,メガキラフロル,83,90,105,150,96,101,625
731,972,972,ハカドッグ,72,101,100,50,97,68,488
732,973,973,カラミンゴ,82,115,74,75,64,90,500
733,975,975,ハルクジラ,170,113,65,45,55,73,521
734,976,976,ミガルーサ,90,102,73,78,65,70,478
735,977,977,ヘイラッシャ,150,100,115,65,65,35,530
736,978,978,シャリタツ,68,50,60,120,95,82,475
737,978,10322,メガシャリタツ,68,65,90,135,125,92,575
738,979,979,コノヨザル,110,115,80,50,90,90,535
739,980,980,ドオー,130,75,60,45,100,20,430
740,981,981,リキキリン,120,90,70,110,70,60,520
741,982,982,ノココッチ,125,100,80,85,75,55,520
742,983,983,ドドゲザン,100,135,120,60,85,50,550
743,984,984,イダイナキバ,115,131,131,53,53,87,570
744,985,985,サケブシッポ,115,65,99,65,115,111,570
745,986,986,アラブルタケ,111,127,99,79,99,55,570
746,987,987,ハバタクカミ,55,55,55,135,135,135,570
747,988,988,チヲハウハネ,85,135,79,85,105,81,570
748,989,989,スナノケガワ,85,81,97,121,85,101,570
749,990,990,テツノワダチ,90,112,120,72,70,106,570
750,991,991,テツノツツミ,56,80,114,124,60,136,570
751,992,992,テツノカイナ,154,140,108,50,68,50,570
752,993,993,テツノコウベ,94,80,86,122,80,108,570
753,994,994,テツノドクガ,80,70,60,140,110,110,570
754,995,995,テツノイバラ,100,134,110,70,84,72,570
755,998,998,セグレイブ,115,145,92,75,86,87,600
756,998,10325,メガセグレイブ,115,175,117,105,101,87,700
757,1000,1000,サーフゴー,87,60,95,133,91,84,550
758,1001,1001,チオンジェン,85,85,100,95,135,70,570
759,1002,1002,パオジアン,80,120,80,90,65,135,570
760,1003,1003,ディンルー,155,110,125,55,80,45,570
761,1004,1004,イーユイ,55,80,80,135,120,100,570
762,1005,1005,トドロクツキ,105,139,71,55,101,119,590
763,1006,1006,テツノブジン,74,130,90,120,60,116,590
764,1007,1007,コライドン,100,135,115,85,100,135,670
765,1008,1008,ミライドン,100,85,100,135,115,135,670
766,1009,1009,ウネルミナモ,99,83,91,125,83,109,590
767,1010,1010,テツノイサハ,90,130,88,70,108,104,590
768,1013,1013,ヤバソチャ,71,60,106,121,80,70,508
769,1014,1014,イイネイヌ,88,128,115,58,86,80,555
770,1015,1015,マシマシラ,88,75,66,130,90,106,555
771,1016,1016,キチキギス,88,91,82,70,125,99,555
772,1017,1017,オーガポン,80,120,84,60,96,110,550
773,1018,1018,ブリジュラス,90,105,130,125,65,85,600
774,1019,1019,カミツオロチ,106,80,110,120,80,44,540
775,1020,1020,ウガツホムラ,105,115,121,65,93,91,590
776,1021,1021,タケルライコ,125,73,91,137,89,75,590
777,1022,1022,テツノイワオ,90,120,80,68,108,124,590
778,1023,1023,テツノカシラ,90,72,100,122,108,98,590
779,1024,1024,テラパゴス,90,65,85,65,85,60,450
780,1024,10276,テラパゴス（テラス）,95,95,110,105,110,85,600
781,1024,10277,テラパゴス（ステラ）,160,105,110,130,110,85,700
782,1025,1025,モモワロウ,88,88,160,88,88,88,600
